Genus;Subgenus;Species;Locality;Municipe;Province;Country;Day;Month;Year;;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja;Notes.and.queries
Osmia ;NA;caerulescens;Hecho;NA;Huesca;NA;2;5;2009;;NA;NA;C. Ornosa;Félix Torres;2009;NA;1;UCME.;NA
Andrena;NA;NA;Ciudad Universitaria;Madrid;Madrid;España;NA;4;2009;;NA;NA;C. Ornosa;C. Ornosa;2009;NA;1;UCME.;NA
Chalicodoma;NA; cf pyrenaica;¿Colmenar?;NA;NA;España;NA;NA;NA;;NA;NA;Pablo Vargas;C. Ornosa;2009;NA;1;UCME.;NA
Osmia;NA;notata;Al: B.P.R.  Pendiente Pablo;NA;NA;España;NA;NA;2009;;NA;NA;Pablo Vargas;Félix Torres;NA;NA;1;NA;NA
Rhodanthidium;NA;sticticum;Lagunas de Ruidera ( 3);Lagunas de Ruidera;Albacetel;España;8;6;2009;;800;30SWJ112124;C. Ornosa/F Torres;C Ornosa;NA;NA;1;NA; 
Rhodanthidium;NA;sticticum;Lagunas de Ruidera ( 3);Lagunas de Ruidera;Albacetel;España;8;6;2009;;800;30SWJ112124;C. Ornosa/F Torres;C Ornosa;NA;1;NA;NA;NA
Rhodanthidium;NA;septemdentatum;Ruta de la Laguna Blanca (4);Lagunas de Ruidera;Albacetel;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;C Ornosa;NA;1;NA;NA;NA
Rhodanthidium;NA;septemdentatum;Ruta de la Laguna Blanca (4);Lagunas de Ruidera;Albacetel;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;C Ornosa;NA;NA;1;NA;NA
Trachusa;NA;interrupta;Ruta de la Laguna Blanca (4);Lagunas de Ruidera;Albacetel;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;C Ornosa;NA;1;NA;NA;NA
Anthidium;NA;florentinum;Ruta de la Laguna Blanca (4);Lagunas de Ruidera;Albacetel;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;C Ornosa;NA;1;NA;NA;NA
Anthidium;NA;florentinum;Ruta de la Laguna Blanca (4);Lagunas de Ruidera;Albacetel;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;C Ornosa;NA;NA;1;NA;NA
Anthidium;NA;florentinum;Ruta de la Laguna Blanca (4);Lagunas de Ruidera;Albacetel;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;C Ornosa;NA;1;NA;NA;NA
Pseudoanthidium;NA;lituratum;Laguna Tomilla (5);Lagunas de Ruidera;Albacete;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;C Ornosa;NA;NA;1;NA;NA
Trachusa;NA;laticeps;Crta El Bonillo  (7);NA;Ciudad Real;España;10;6;2009;;895;30SWJ299055;C. Ornosa/F Torres;C Ornosa;NA;NA;1;NA;NA
