Genus,Subgenus,Species,Subspecies,name,Country,Province,Locality,Locality,Latitude,Longitude,Year,Month,Day,Date,Collector,Determiner,Sex
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Puntiró,Palma,3.959.623,280.156,2018,5,14,14/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Puntiró,Palma,3.959.623,280.156,2018,5,14,14/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Puntiró,Palma,3.959.623,280.156,2018,5,14,14/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Puntiró,Palma,3.959.623,280.156,2018,5,14,14/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Puntiró,Palma,3.959.623,280.156,2018,5,14,14/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Puntiró,Palma,3.959.623,280.156,2018,5,14,14/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Puntiró,Palma,3.959.623,280.156,2018,6,4,4/6/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Coma,Es Capdellà,3.958.026,246.473,2018,4,9,9/4/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Coma,Es Capdellà,3.958.026,246.473,2018,4,9,9/4/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Coma,Es Capdellà,3.958.026,246.473,2018,4,9,9/4/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Coma,Es Capdellà,3.958.026,246.473,2018,4,9,9/4/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Coma,Es Capdellà,3.958.026,246.473,2018,4,9,9/4/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Coma,Es Capdellà,3.958.026,246.473,2018,4,9,9/4/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Coma,Es Capdellà,3.958.026,246.473,2018,4,9,9/4/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Coma,Es Capdellà,3.958.026,246.473,2018,4,9,9/4/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Coma,Es Capdellà,3.958.026,246.473,2018,4,9,9/4/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Coma,Es Capdellà,3.958.026,246.473,2018,4,9,9/4/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Coma,Es Capdellà,3.958.026,246.473,2018,4,9,9/4/18,NA,M. A. González-Estévez,m
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,4,10,10/4/18,NA,M. A. González-Estévez,m
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,4,10,10/4/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,4,10,10/4/18,NA,M. A. González-Estévez,m
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,4,10,10/4/18,NA,M. A. González-Estévez,m
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,4,10,10/4/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,4,10,10/4/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Ses Costes,Muro,3.975.011,305.956,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Ses Costes,Muro,3.975.011,305.956,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Son Baco,Campos,3.938.035,304.068,2018,5,17,17/5/18,NA,M. A. González-Estévez,NA
