;ID;site;ITD;Genus;Species;Sex;plant_genus;plant_species;Determined.by;Day;Month;Year
540;540;MED1CA;NA;Chrysis;sp;unknown;NA;NA;L.O. Aguado;11;5;2005
541;541;MIQ1OP;1.27;Lasioglossum;interruptum;female;Daucus;carota;F.J.Ortiz;22;6;2005
542;542;MIQOP;NA;Pontia;daplidice;male;Scabiosa;sp;L.O. Aguado;29;6;2004
543;543;MIQOP;NA;Pontia;daplidice;male;Scabiosa;sp;L.O. Aguado;29;6;2004
544;544;MIQOP;NA;Vanessa;cardui;unknown;Scabiosa;sp;L.O. Aguado;29;6;2004
545;545;MIQOP;NA;Colias;croceus;unknown;Scabiosa;sp;L.O. Aguado;29;6;2004
546;546;MIQOP;NA;Pyronia;tithonus;unknown;Scabiosa;sp;L.O. Aguado;29;6;2004
547;547;SEL1OP;NA;Pyronia;tithonus;unknown;Eryngium;sp;I. Bartomeus;29;6;2004
548;548;MIQOP;NA;Pieris;rapae;male;Scabiosa;sp;L.O. Aguado;29;6;2004
549;549;MIQOP;NA;Hyponephele;lupina;male;Scabiosa;sp;L.O. Aguado;29;6;2004
550;550;MIQOP;NA;Hyponephele;lupina;male;Pseudotergumina;fidia;L.O. Aguado;7;4;2004
551;551;MED4CA;NA;Callophorys;rubi;male;Rosmarinus;officinalis;L.O. Aguado;14;4;2005
552;552;BAT1CA;NA;NA;NA;unknown;NA;NA;L.O. Aguado;21;4;2005
553;553;FRA2OP;NA;Camponotus;sp;female;Opuntia;sp;L.O. Aguado;30;6;2005
554;554;MED3CA;NA;Hedychridium;sp;unknown;Cistus;monpeliensis;L.O. Aguado;25;5;2005
555;555;FRA2OP;NA;NA;NA;unknown;Allium;sp;L.O. Aguado;21;6;2005
556;556;BAT1CA;NA;NA;NA;unknown;Lavandula;stoechas;;8;5;2005
557;557;BAT2CA;NA;Polistes;gallicus;female;Erica;sp;I. Bartomeus;16;3;2004
558;558;FRA1OP;NA;Polistes;gallicus;female;Daucus;sp;I. Bartomeus;22;6;2004
559;559;SEL2OP;NA;Sphex;maxilosus;unknown;Allium;sp;I. Bartomeus;21;6;2004
560;560;Cap de creus;NA;Scolia;hirta;unknown;NA;NA;I. Bartomeus;01;01;2004
561;561;SEL2OP;NA;Scolia;hirta;male;Daucus;carota;L.O. Aguado;8;6;2005
