"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","GPS","GPS","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja"
"Bombus","Bombus","terrestris","Los Balbases",NA,"Burgos","España","17-IX-2010","1154",NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 reina","UCME"
"Bombus","Bombus","terrestris","Los Balbases",NA,"Burgos","España","17-IX-2010","1154",NA,NA,"C. Ornosa","C. Ornosa","2012",1,NA,"UCME"
"Bombus ","Bombus","terrestris","Monte Cidade Fornelos Montes",NA,"Pontevedra",NA,"25-VIII-2011",NA,NA,NA,"R. Outerelo","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris ","Moratalla",NA,NA,"España","2012-06-10",NA,NA,NA,NA,"C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris ","Moratalla",NA,NA,"España","2012-06-10",NA,NA,NA,NA,"C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Peñalara","Sierra de Guadarrama","Madrid","España","28-VI-2011",NA,NA,NA,"J. Lorente","C. Ornosa","2012",1,NA,"UCME"
"Bombus ","Bombus","terrestris","Peñalara","Sierra de Guadarrama","Madrid","España","28-VI-2011",NA,NA,NA,"J. Lorente","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Peñalara","Sierra de Guadarrama","Madrid","España","5-VII-2011",NA,NA,NA,"C. Lara","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Peñalara","Sierra de Guadarrama","Madrid","España","22-VI-2011",NA,NA,NA,"C. Lara","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris ","Cerro Colgado, pinarcillo","Sierra de Guadarrama","Madrid","España","16-VII-2012",NA,NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris ","Las Dehesas. Albergue","Sierra de Guadarrama","Madrid","España","15-VII-2012",NA,NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris ","Cerro Colgado","Sierra de Guadarrama","Madrid","España","15-VII-2012",NA,NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera ","UCME"
"Bombus ","Bombus","terrestris","Las Dehesas. Albergue","Sierra de Guadarrama","Madrid","España","14-VII-2012",NA,NA,NA,"C. Ornosa","C. Ornosa",NA,1,NA,"UCME"
