Genus,species,subspecies,year,latitude,longitude
Bombus,lapidarius,,2017,43.13255,-5.90008
Bombus,lapidarius,,2017,43.13255,-5.90008
Bombus,lapidarius,,2017,43.13255,-5.90008
Bombus,lapidarius,,2018,43.22166,-5.8886
Bombus,lucorum,,2018,43.22166,-5.8886
Bombus,lucorum,,2018,43.22166,-5.8886
Bombus,lucorum,,2018,43.22166,-5.8886
Bombus,lucorum,,2018,43.22166,-5.8886
Bombus,lucorum,,2017,43.25941,-5.88819
Bombus,lucorum,,2017,43.25941,-5.88819
Bombus,lucorum,,2017,43.25941,-5.88819
Bombus,lucorum,,2017,43.25941,-5.88819
Bombus,lucorum,,2017,43.25941,-5.88819
Bombus,lucorum,,2017,43.25941,-5.88819
Bombus,lucorum,,2017,43.25941,-5.88819
Bombus,lucorum,,2017,43.25941,-5.88819
Bombus,lucorum,,2017,43.26501,-5.88797
Bombus,lucorum,,2017,43.26501,-5.88797
Bombus,lucorum,,2017,43.26501,-5.88797
Bombus,lucorum,,2017,43.26501,-5.88797
Bombus,lucorum,,2017,43.26501,-5.88797
Bombus,lucorum,,2017,43.26501,-5.88797
Bombus,lucorum,,2017,42.99554,-5.88346
Bombus,lucorum,,2017,42.99554,-5.88346
Bombus,lucorum,,2017,42.99554,-5.88346
Bombus,lucorum,,2017,42.99554,-5.88346
Bombus,lucorum,,2017,42.99554,-5.88346
Bombus,lucorum,,2017,42.99554,-5.88346
Bombus,lucorum,,2017,42.99554,-5.88346
Bombus,lucorum,,2018,43.27732,-5.87657
Bombus,lucorum,,2018,43.27732,-5.87657
Bombus,lucorum,,2018,43.27732,-5.87657
Bombus,lucorum,,2018,43.27732,-5.87657
Bombus,lucorum,,2018,43.27732,-5.87657
Bombus,lucorum,,2018,43.27732,-5.87657
Bombus,lucorum,,2018,43.08453,-5.87387
Bombus,lucorum,,2018,43.08453,-5.87387
Bombus,lucorum,,2018,43.08453,-5.87387
Bombus,lucorum,,2018,43.08453,-5.87387
Bombus,lucorum,,2018,43.08453,-5.87387
Bombus,lucorum,,2018,43.08453,-5.87387
Bombus,lucorum,,2018,43.08453,-5.87387
Bombus,lucorum,,2018,43.08453,-5.87387
Bombus,lucorum,,2017,43.00374,-5.86494
Bombus,lucorum,,2017,43.00374,-5.86494
Bombus,lucorum,,2017,43.00374,-5.86494
Bombus,lucorum,,2017,43.00374,-5.86494
Bombus,lucorum,,2017,43.00374,-5.86494
Bombus,lucorum,,2017,43.00374,-5.86494
Bombus,lucorum,,2017,43.00374,-5.86494
Bombus,lucorum,,2017,43.00374,-5.86494
Bombus,lucorum,,2017,43.00374,-5.86494
Bombus,lucorum,,2017,43.00374,-5.86494
Bombus,lucorum,,2017,43.19669,-5.85932
Bombus,lucorum,,2017,43.19669,-5.85932
Bombus,lucorum,,2017,43.19669,-5.85932
Bombus,lucorum,,2017,43.19669,-5.85932
Bombus,lucorum,,2017,43.19669,-5.85932
Bombus,lucorum,,2017,43.19669,-5.85932
Bombus,lucorum,,2017,43.19669,-5.85932
Bombus,lucorum,,2017,43.19669,-5.85932
Bombus,lucorum,,2018,43.64938,-5.85874
Bombus,lucorum,,2018,43.64938,-5.85874
Bombus,lucorum,,2018,43.64938,-5.85874
Bombus,lucorum,,2018,43.64938,-5.85874
Bombus,lucorum,,2017,43.29,-5.85864
Bombus,lucorum,,2017,43.29,-5.85864
Bombus,lucorum,,2017,43.29,-5.85864
Bombus,lucorum,,2017,43.65435,-5.85188
Bombus,lucorum,,2017,43.65435,-5.85188
Bombus,lucorum,,2017,43.65435,-5.85188
Bombus,lucorum,,2017,43.65435,-5.85188
Bombus,lucorum,,2017,43.65435,-5.85188
Bombus,lucorum,,2018,43.63309,-5.79668
Bombus,lucorum,,2018,43.63309,-5.79668
Bombus,lucorum,,2018,43.63309,-5.79668
Bombus,lucorum,,2018,43.63309,-5.79668
Bombus,lucorum,,2017,42.9804,-5.76897
Bombus,lucorum,,2017,42.9804,-5.76897
Bombus,lucorum,,2017,42.9804,-5.76897
Bombus,lucorum,,2017,42.9804,-5.76897
Bombus,lucorum,,2017,42.9804,-5.76897
Bombus,lucorum,,2017,42.9804,-5.76897
Bombus,lucorum,,2017,43.24209,-5.75783
Bombus,lucorum,,2017,43.24209,-5.75783
Bombus,lucorum,,2017,43.24209,-5.75783
Bombus,lucorum,,2017,43.24209,-5.75783
Bombus,lucorum,,2017,43.24455,-5.75431
Bombus,lucorum,,2017,43.24455,-5.75431
Bombus,lucorum,,2017,43.24455,-5.75431
Bombus,lucorum,,2017,43.24455,-5.75431
Bombus,lucorum,,2017,43.24647,-5.74275
Bombus,lucorum,,2017,43.24647,-5.74275
Bombus,lucorum,,2017,43.24647,-5.74275
Bombus,lucorum,,2017,43.24647,-5.74275
Bombus,lucorum,,2017,43.24647,-5.74275
Bombus,lucorum,,2017,43.24647,-5.74275
Bombus,lucorum,,2017,43.56901,-5.71953
Bombus,lucorum,,2017,43.56901,-5.71953
Bombus,lucorum,,2017,43.56901,-5.71953
Bombus,lucorum,,2017,43.56901,-5.71953
Bombus,lucorum,,2017,43.45326,-5.66203
Bombus,lucorum,,2017,43.45326,-5.66203
Bombus,lucorum,,2017,43.45326,-5.66203
Bombus,lucorum,,2017,43.45326,-5.66203
Bombus,lucorum,,2017,43.46819,-5.65804
Bombus,lucorum,,2017,43.46819,-5.65804
Bombus,lucorum,,2017,43.46819,-5.65804
Bombus,lucorum,,2017,43.46819,-5.65804
Bombus,lucorum,,2017,43.46819,-5.65804
Bombus,lucorum,,2017,42.93772,-5.62892
Bombus,lucorum,,2017,42.93772,-5.62892
Bombus,lucorum,,2017,42.93772,-5.62892
Bombus,lucorum,,2017,42.93772,-5.62892
Bombus,lucorum,,2017,42.93772,-5.62892
Bombus,lucorum,,2017,42.93458,-5.61867
Bombus,lucorum,,2017,42.93458,-5.61867
Bombus,lucorum,,2017,42.93458,-5.61867
Bombus,lucorum,,2017,42.93458,-5.61867
Bombus,lucorum,,2017,42.93458,-5.61867
Bombus,lucorum,,2017,42.93458,-5.61867
Bombus,magnus,,2018,43.03449,-5.61841
Bombus,magnus,,2018,43.03449,-5.61841
Bombus,magnus,,2018,43.03449,-5.61841
Bombus,magnus,,2018,43.03449,-5.61841
Bombus,magnus,,2018,43.03449,-5.61841
Bombus,magnus,,2018,43.03449,-5.61841
Bombus,magnus,vasco,2018,43.03449,-5.61841
Bombus,magnus,,2018,43.03449,-5.61841
Bombus,magnus,,2017,43.04459,-5.51294
Bombus,magnus,,2017,43.04459,-5.51294
